school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,grade11_enrollment,nmsf_per_100_juniors,rate_status,row_coverage_status,nmsf_status,enrollment_status,denominator_gap_flag,nmsf_missingness_flag,rate_missingness_note
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2019,,528,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2020,,551,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2021,,614,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2022,,598,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2023,3,701,0.427960,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2024,6,567,1.058201,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2025,3,649,0.462250,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2026,5,649,0.770416,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2019,,211,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2020,,196,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2021,,207,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2022,,226,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2023,,195,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2024,5,197,2.538071,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2025,,225,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2026,,245,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2019,,419,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2020,,441,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2021,,473,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2022,,467,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
