class_year,balanced_tjhsst_nmsf_count,balanced_base_public_nmsf_count,balanced_public_nmsf_count,tjhsst_share_of_balanced_public_nmsf_pct,base_public_share_of_balanced_public_nmsf_pct
2023,132.000000,161.000000,293.000000,45.051195,54.948805
2024,165.000000,166.000000,331.000000,49.848943,50.151057
2025,81.000000,170.000000,251.000000,32.270916,67.729084
2026,113.000000,224.000000,337.000000,33.531157,66.468843
