class_year,operating_school_rows,observed_count_rows,missing_count_rows,count_coverage_pct,rate_compatible_rows,rate_coverage_pct,observed_nmsf_total,rate_compatible_nmsf_count,rate_compatible_grade11_enrollment,covered_nmsf_per_100_grade11
2023,76,76,0,100.000000,71,93.421053,325.000000,313.000000,31087.000000,1.006852
2024,76,76,0,100.000000,61,80.263158,367.000000,342.000000,30412.000000,1.124556
2025,76,75,1,98.684211,70,92.105263,288.000000,274.000000,32216.000000,0.850509
2026,76,76,0,100.000000,62,81.578947,385.000000,360.000000,31576.000000,1.140106
