scenario,base_public_baseline_years,tjhsst_baseline_years,base_public_baseline_rate_per_100,tjhsst_baseline_rate_per_100,base_public_post_enrollment,tjhsst_post_enrollment,base_public_expected_post_nmsf,base_public_observed_post_nmsf,base_public_excess_vs_baseline_rate,tjhsst_expected_post_nmsf,tjhsst_observed_post_nmsf,tjhsst_shortfall_vs_baseline_rate,base_excess_as_pct_of_tjhsst_shortfall,component_standardized_public_expected_post_nmsf,balanced_public_observed_post_nmsf,balanced_public_shortfall_vs_component_baseline
common_2023_2024_baseline,2023|2024,2023|2024,0.571574,32.926829,61416.000000,1027.000000,351.037592,405.000000,53.962408,338.158537,194.000000,144.158537,37.432683,689.196129,599.000000,90.196129
extended_tjhsst_2019_2024_baseline,2023|2024,2019|2020|2021|2022|2023|2024,0.571574,33.295880,61416.000000,1027.000000,351.037592,405.000000,53.962408,341.948689,194.000000,147.948689,36.473732,692.986281,599.000000,93.986281
