school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,nmsf_status,nmsf_count_available,nmsf_source_id,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,count_missingness_note
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2023,2,verified_count,true,aps_2023_semifinalists,17 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/17-seniors-named-national-merit-scholarship-semifinalists/,2022-09-16,eb698326e9c1c9b0b76d961730e6c429d0f99c624fe5ded47558a5d7a7765481,source-backed numeric count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2024,0,verified_zero,true,nmsc_virginia_2024_semifinalists,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,2023-09-13,51f0d3110d1e143f3a88232cd089a1ef8ca0614c20066ac7a5b6b40af1311a82,source-backed numeric count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2025,2,verified_count,true,aps_2025_semifinalists,22 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/22-seniors-named-national-merit-scholarship-semifinalists/,2024-09-12,de5fdc39b014327562b25c13af29e100e5a1b43d49db4b9ac416ec2663dd661d,source-backed numeric count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2026,0,verified_zero,true,aps_2026_semifinalists,30 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/29-seniors-named-national-merit-scholarship-semifinalists/,2025-09-11,1039702f522156bc8fcca6c9b4ca1122d8af5634f41616666e70e5025f2cd2bd,source-backed numeric count
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2023,7,verified_count,true,aps_2023_semifinalists,17 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/17-seniors-named-national-merit-scholarship-semifinalists/,2022-09-16,eb698326e9c1c9b0b76d961730e6c429d0f99c624fe5ded47558a5d7a7765481,source-backed numeric count
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2024,6,verified_count,true,patch_arlington_2024_semifinalists,16 Arlington Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/arlington-va/16-arlington-seniors-named-2024-national-merit-semifinalists,2023-09-14,5126006edc21a73a7803e132bf2eca73d34f4233a5d1112b4442bf81f4d88236,source-backed numeric count
