class_year,group,nmsf_count_total,missing_nmsf_rows,virginia_location_nmsf_semifinalist_total,share_of_virginia_location_total_pct,virginia_location_total_status,virginia_location_total_source_url,state_selection_unit_nmsf_semifinalist_total,state_selection_unit_total_status,state_selection_unit_reconciliation_status,coverage_note
2025,TJHSST,81,0,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
2025,Conventional base public,,1,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
2025,Private/homeschool unallocated,34,0,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
2025,TJ-zone excluding TJHSST,,1,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
2025,Virginia outside TJ-zone,,1,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
2026,TJ-zone including TJHSST,385,0,494,77.935223,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2026,TJHSST,113,0,494,22.874494,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2026,Conventional base public,231,0,494,46.761134,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2026,Private/homeschool unallocated,35,0,494,7.085020,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2026,TJ-zone excluding TJHSST,272,0,494,55.060729,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2026,Virginia outside TJ-zone,109,0,494,22.064777,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,489,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
