class_year,group,group_nmsf_count,virginia_location_semifinalist_total,group_share_of_virginia_location_total_pct,state_selection_unit_numerator_adjustment,state_selection_unit_group_nmsf_count,virginia_selection_index_cutoff,virginia_statewide_semifinalist_total,group_share_of_statewide_total_pct,selection_unit_numerator_scope_status,source_status,state_total_status,state_total_source_title,cutoff_source_url,state_total_source_url,location_total_status,location_total_source_url,state_selection_unit_reconciliation_status
2025,Balanced count all schools,288.000000,,,0.000000,,222,394.000000,,boarding_adjustment_not_reconciled_for_secondary_total,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/,not_sourced,,secondary_total_no_location_reconciliation
2025,Balanced public including TJHSST,254.000000,,,0.000000,254.000000,222,394.000000,64.467005,secondary_state_unit_denominator,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/,not_sourced,,secondary_total_no_location_reconciliation
2025,Balanced base public including program,173.000000,,,0.000000,173.000000,222,394.000000,43.908629,secondary_state_unit_denominator,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/,not_sourced,,secondary_total_no_location_reconciliation
2025,TJHSST,81.000000,,,0.000000,81.000000,222,394.000000,20.558376,secondary_state_unit_denominator,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/,not_sourced,,secondary_total_no_location_reconciliation
2025,Balanced private schools,34.000000,,,0.000000,,222,394.000000,,boarding_adjustment_not_reconciled_for_secondary_total,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/,not_sourced,,secondary_total_no_location_reconciliation
2026,Balanced count all schools,380.000000,494.000000,76.923077,4.000000,376.000000,224,489.000000,76.891616,scope_matched,cutoff_secondary_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2026 Program,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf?cc=1&gid=2&pgid=61,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,exact_boarding_scope_reconciliation
2026,Balanced public including TJHSST,345.000000,494.000000,69.838057,0.000000,345.000000,224,489.000000,70.552147,scope_matched,cutoff_secondary_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2026 Program,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf?cc=1&gid=2&pgid=61,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,exact_boarding_scope_reconciliation
2026,Balanced base public including program,232.000000,494.000000,46.963563,0.000000,232.000000,224,489.000000,47.443763,scope_matched,cutoff_secondary_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2026 Program,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf?cc=1&gid=2&pgid=61,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,exact_boarding_scope_reconciliation
2026,TJHSST,113.000000,494.000000,22.874494,0.000000,113.000000,224,489.000000,23.108384,scope_matched,cutoff_secondary_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2026 Program,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf?cc=1&gid=2&pgid=61,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,exact_boarding_scope_reconciliation
2026,Balanced private schools,35.000000,494.000000,7.085020,4.000000,31.000000,224,489.000000,6.339468,scope_matched,cutoff_secondary_state_total_source_backed_state_selection_unit_total,source_backed_state_selection_unit_total,Guide to the National Merit Scholarship Program - 2026 Program,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.nationalmerit.org/s/1758/images/gid2/editor_documents/guide_to_the_national_merit_scholarship_program.pdf?cc=1&gid=2&pgid=61,source_backed_location_total,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,exact_boarding_scope_reconciliation
