source_id,provider,class_year,school_name_source,nmsf_count,nmsf_status,source_title,source_url,source_date,source_scope,source_completeness,source_notes
fcps_2025_semifinalists,fcps,2025,Madison High School,9,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Marshall High School,5,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,McLean High School,16,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Oakton High School,11,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Robinson Secondary School,4,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,South Lakes High School,3,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Thomas Jefferson High School for Science and Technology,81,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,West Potomac High School,1,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,West Springfield High School,3,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Westfield High School,3,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2025_semifinalists,fcps,2025,Woodson High School,6,verified_count,191 FCPS Students Named 2025 National Merit Semifinalists,https://www.fcps.edu/news/191-fcps-students-named-2025-national-merit-semifinalists,2024-09-12,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
