school_id,school,pathway,division,sector,class_year,grade11_school_year,nmsf_count,nmsf_status,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,nmsf_source_scope,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_rows,nmsf_per_100_grade11,notes
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2020,2018-19,,source_pending,,,,,,196,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2021,2019-20,,source_pending,,,,,,207,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2022,2020-21,,source_pending,,,,,,226,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2023,2021-22,,source_pending,,,,,,195,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2024,2022-23,5,verified_count,11 Falls Church Students In Running For 2024 National Merit Scholarships,https://patch.com/virginia/fallschurch/11-falls-church-students-named-2024-national-merit-semifinalists,2023-09-14,798cfea09c4c6536a732157d2e03ee47607444b55e36efcc62c2efc2192f01ce,Falls Church schools,197,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,2.538071,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2025,2023-24,,source_pending,,,,,,225,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_042,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,Falls Church,Falls Church City,Public,2026,2024-25,,source_pending,,,,,,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,Renamed from George Mason HS in 2021
briar_woods_high_school,Briar Woods High School,Loudoun,LCPS,Public,2019,2017-18,,source_pending,,,,,,419,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_011,,
briar_woods_high_school,Briar Woods High School,Loudoun,LCPS,Public,2020,2018-19,,source_pending,,,,,,441,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_011,,
briar_woods_high_school,Briar Woods High School,Loudoun,LCPS,Public,2021,2019-20,,source_pending,,,,,,473,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_011,,
