source_row_id,source_sheet,source_row,school_name_source,state_name,school_year,grade11_students,grade11_status,grades9_12_students,grades9_12_status
sheet6_row_016,Sheet6,16,CHARLES J. COLGAN SR. HIGH,VIRGINIA,2020-21,692,reported,2934,reported
sheet6_row_016,Sheet6,16,CHARLES J. COLGAN SR. HIGH,VIRGINIA,2019-20,712,reported,2810,reported
sheet6_row_016,Sheet6,16,CHARLES J. COLGAN SR. HIGH,VIRGINIA,2018-19,672,reported,2564,reported
sheet6_row_016,Sheet6,16,CHARLES J. COLGAN SR. HIGH,VIRGINIA,2017-18,486,reported,2267,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2023-24,396,reported,1464,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2022-23,337,reported,1487,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2021-22,368,reported,1461,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2020-21,362,reported,1500,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2019-20,391,reported,1606,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2018-19,409,reported,1572,reported
sheet6_row_017,Sheet6,17,DOMINION HIGH,Virginia,2017-18,353,reported,1560,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2023-24,621,reported,2285,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2022-23,516,reported,2267,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2021-22,535,reported,2185,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2020-21,521,reported,2151,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2019-20,530,reported,2189,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2018-19,573,reported,2119,reported
sheet6_row_018,Sheet6,18,EDISON HIGH,Virginia,2017-18,538,reported,2093,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2023-24,615,reported,2351,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2022-23,624,reported,2371,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2021-22,583,reported,2305,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2020-21,604,reported,2341,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2019-20,557,reported,2366,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2018-19,639,reported,2325,reported
sheet6_row_019,Sheet6,19,FAIRFAX HIGH,Virginia,2017-18,609,reported,2373,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2023-24,620,reported,2154,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2022-23,543,reported,2118,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2021-22,509,reported,1985,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2020-21,487,reported,1984,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2019-20,551,reported,2068,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2018-19,588,reported,2111,reported
sheet6_row_020,Sheet6,20,FALLS CHURCH HIGH,Virginia,2017-18,606,reported,2166,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2023-24,593,reported,2326,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2022-23,504,reported,2308,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2021-22,564,reported,2308,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2020-21,566,reported,2265,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2019-20,486,reported,2271,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2018-19,517,reported,2229,reported
sheet6_row_021,Sheet6,21,FOREST PARK HIGH,Virginia,2017-18,519,reported,2215,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2023-24,513,reported,1968,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2022-23,508,reported,1998,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2021-22,501,reported,2052,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2020-21,548,reported,2120,reported
