source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2026_semifinalists,2026,CULPEPER,FAIRFAX FAIRFAX H. S.,fairfax_high_school,Fairfax High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,FALLS CHURCH FALLS CHURCH H. S.,falls_church_high_school,Falls Church High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,GEORGE C. MARSHALL H. S.,marshall_high_school,Marshall High School,15,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,JUSTICE H. S.,justice_high_school,Justice High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,MERIDIAN H. S.,meridian_high_school,Meridian High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,NEW SCHOOL OF NORTHERN VIRGINIA,new_school_of_northern_virginia,New School of Northern Virginia,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,CULPEPER,TRINITY CHRISTIAN SCHOOL,trinity_christian_school,Trinity Christian School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,FREDERICKSBURG,MASSAPONAX H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,FREDERICKSBURG,RIVERBEND H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,FREDERICKSBURG,STAFFORD H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,FRONT ROYAL,GAINESVILLE GAINESVILLE H. S.,gainesville_high_school,Gainesville High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,FRONT ROYAL,HOMESCHOOL / ONLINE SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,GLEN ALLEN,DEEP RUN H. S.,,,5,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,GLEN ALLEN,HAYMARKET BATTLEFIELD H. S.,battlefield_high_school,Battlefield High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,DOUGLAS S. FREEMAN H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,HERNDON HERNDON H. S.,herndon_high_school,Herndon High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,HOMESCHOOL / ONLINE SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
