source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2024_semifinalists,2024,,ALDIE JOHN CHAMPE H. S.,john_champe_high_school,John Champe High School,6,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,,LIGHTRIDGE H. S.,lightridge_high_school,Lightridge High School,6,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ALEXANDRIA CITY H. S.,,,4,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ANNANDALE ANNANDALE H. S.,annandale_high_school,Annandale High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ARLINGTON BISHOP O'CONNELL H. S.,bishop_o_connell_high_school,Bishop O'Connell High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ASHBURN BRIAR WOODS H. S.,briar_woods_high_school,Briar Woods High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,BISHOP IRETON H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,BROAD RUN H. S.,broad_run_high_school,Broad Run High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,HOMESCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,INDEPENDENCE H. S.,independence_high_school,Independence High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ROCK RIDGE H. S.,rock_ridge_high_school,Rock Ridge High School,12,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,ST. STEPHEN'S AND ST. AGNES SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,STONE BRIDGE H. S.,stone_bridge_high_school,Stone Bridge High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2024_semifinalists,2024,ALEXANDRIA,THE H. B. WOODLAWN PROGRAM,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,1,observation_count,matched to canonical roster; student names omitted
