source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2023_semifinalists,2023,,ALDIE JOHN CHAMPE H. S.,john_champe_high_school,John Champe High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,,LIGHTRIDGE H. S.,lightridge_high_school,Lightridge High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,ALEXANDRIA CITY H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,BISHOP IRETON H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,IMMANUEL CHRISTIAN SCHOOL,immanuel_christian_high_school,Immanuel Christian High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,ST. STEPHEN'S AND ST. AGNES SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,THOMAS A. EDISON H. S.,edison_high_school,Edison High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,THOMAS JEFFERSON H. S. FOR SCIENCE AND TECHNOLOGY,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,132,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ALEXANDRIA,WEST POTOMAC H. S.,west_potomac_high_school,West Potomac High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,ASHBURN BRIAR WOODS H. S.,briar_woods_high_school,Briar Woods High School,8,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,BISHOP O'CONNELL H. S.,bishop_o_connell_high_school,Bishop O'Connell High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,BROAD RUN H. S.,broad_run_high_school,Broad Run High School,6,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,HOMESCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,INDEPENDENCE H. S.,independence_high_school,Independence High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,ROCK RIDGE H. S.,rock_ridge_high_school,Rock Ridge High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,STONE BRIDGE H. S.,stone_bridge_high_school,Stone Bridge High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,THE H. B. WOODLAWN PROGRAM,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,WAKEFIELD H. S.,wakefield_high_school,Wakefield High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,WASHINGTON - LIBERTY H. S.,washington_liberty_high_school,Washington-Liberty High School,7,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,ARLINGTON,YORKTOWN H. S.,yorktown_high_school,Yorktown High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,BLACKSBURG,BLACKSBURG H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,BLACKSBURG,BURKE LAKE BRADDOCK SECONDARY SCHOOL,lake_braddock_secondary_school_hs,Lake Braddock Secondary School (HS),4,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,BLACKSBURG,CHANTILLY CHANTILLY H. S.,chantilly_high_school,Chantilly High School,10,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,BLACKSBURG,ST. PAUL VI CATHOLIC H. S.,st_paul_vi_catholic_high_school,St. Paul VI Catholic High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,BLACKSBURG,WESTFIELD H. S.,westfield_high_school,Westfield High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2023_semifinalists,2023,CHARLOTTESVILLE,ALBEMARLE H. S.,,,3,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,CHARLOTTESVILLE,CHARLOTTESVILLE H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2023_semifinalists,2023,CHARLOTTESVILLE,ST. ANNE'S - BELFIELD SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
