school_id,school,nces_school_id,nces_lea_id,nces_school_name,nces_lea_name,nces_city,nces_zip,nces_grade_low,nces_grade_high,nces_level,nces_school_type,nces_operational_status,source_title,source_url,source_retrieval_date,source_file_sha256
park_view_high_school,Park View High School,510225000928,5102250,Park View High,Loudoun County Public Schools,Sterling,20164,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
potomac_falls_high_school,Potomac Falls High School,510225001627,5102250,Potomac Falls High,Loudoun County Public Schools,Potomac Falls,20165,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
riverside_high_school,Riverside High School,510225003001,5102250,Riverside High,Loudoun County Public Schools,Leesburg,20176,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
rock_ridge_high_school,Rock Ridge High School,510225002969,5102250,Rock Ridge High,Loudoun County Public Schools,Ashburn,20148,PK,12,Other,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
stone_bridge_high_school,Stone Bridge High School,510225002538,5102250,Stone Bridge High,Loudoun County Public Schools,Ashburn,20147,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
tuscarora_high_school,Tuscarora High School,510225002817,5102250,Tuscarora High,Loudoun County Public Schools,Leesburg,20176,PK,12,Other,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
woodgrove_high_school,Woodgrove High School,510225002812,5102250,Woodgrove High,Loudoun County Public Schools,Purcellville,20132,PK,12,Other,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
battlefield_high_school,Battlefield High School,510313002457,5103130,Battlefield High,Prince William County Public Schools,Haymarket,20169,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
brentsville_district_high_school,Brentsville District High School,510313001288,5103130,Brentsville District High,Prince William County Public Schools,Nokesville,20181,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
charles_j_colgan_sr_high_school,Charles J. Colgan Sr. High School,510313003025,5103130,Charles J. Colgan Sr. High,Prince William County Public Schools,Manassas,20112,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
