school_id,school,tj_pathway,pathway_status,pathway_assignment_method,pathway_source_title,pathway_source_path,pathway_source_date,pathway_source_hash,pathway_source_note,division,district_name,sector,analytical_unit_type,nces_school_id,nces_lea_id,identifier_status,first_operating_class_year,first_operating_grade11_school_year,last_operating_class_year,last_operating_grade11_school_year,source_workbook,source_sheet,source_row,notes
independence_high_school,Independence High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225003061,5102250,matched_2023_24_ccd,2021,2019-20,,,docs/source_notes/tj psat investigation.xlsx,raw,12,Opened 2019–20
john_champe_high_school,John Champe High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002865,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,13,
lightridge_high_school,Lightridge High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225003079,5102250,matched_2023_24_ccd,2022,2020-21,,,docs/source_notes/tj psat investigation.xlsx,raw,14,Opened 2020–21
loudoun_county_high_school,Loudoun County High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225000923,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,15,
loudoun_valley_high_school,Loudoun Valley High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225000924,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,16,
park_view_high_school,Park View High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225000928,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,17,
potomac_falls_high_school,Potomac Falls High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225001627,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,18,
riverside_high_school,Riverside High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225003001,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,19,
rock_ridge_high_school,Rock Ridge High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002969,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,20,
stone_bridge_high_school,Stone Bridge High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002538,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,21,
