source_id,class_year,metric,value,value_status,exact_rows,suppressed_rows,sum_of_exact_cells,source_cell,source_url,source_hash,notes
fcps_tjhsst_class_2025_by_middle_school,2025,applicants,,cell_coverage_summary,58,67,2832,,https://www.fcag.org/2025%20by%20Middle%20School.xlsx,948c91238520afab9ffe21af28d60b6c65fe11f5533428cd692b7f6698566911,Sum covers unsuppressed cells only and is not the full admissions total.
fcps_tjhsst_class_2025_by_middle_school,2025,waitpool,,cell_coverage_summary,32,93,1083,,https://www.fcag.org/2025%20by%20Middle%20School.xlsx,948c91238520afab9ffe21af28d60b6c65fe11f5533428cd692b7f6698566911,Sum covers unsuppressed cells only and is not the full admissions total.
fcps_tjhsst_class_2025_by_middle_school,2025,offered,,cell_coverage_summary,10,115,189,,https://www.fcag.org/2025%20by%20Middle%20School.xlsx,948c91238520afab9ffe21af28d60b6c65fe11f5533428cd692b7f6698566911,Sum covers unsuppressed cells only and is not the full admissions total.
fcps_tjhsst_class_2025_by_middle_school,2025,waitpool_gpa_average,3.9302,reported_workbook_summary,,,,H2,https://www.fcag.org/2025%20by%20Middle%20School.xlsx,948c91238520afab9ffe21af28d60b6c65fe11f5533428cd692b7f6698566911,Workbook-level summary; not attributed to the source school in row 2.
fcps_tjhsst_class_2025_by_middle_school,2025,not_offered_gpa_average,3.8646,reported_workbook_summary,,,,J2,https://www.fcag.org/2025%20by%20Middle%20School.xlsx,948c91238520afab9ffe21af28d60b6c65fe11f5533428cd692b7f6698566911,Workbook-level summary; not attributed to the source school in row 2.
