school_id,school,sector,tj_pathway,division,district_name,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,nces_school_id,pss_ppin,pss_imputation_flag,notes
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2020,2018-19,551,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2021,2019-20,614,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2022,2020-21,598,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2023,2021-22,701,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2024,2022-23,567,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2025,2023-24,649,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_067,,510027000115,,,
yorktown_high_school,Yorktown High School,public,Arlington,APS,Arlington County Public Schools,2026,2024-25,649,reported,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,10199476,GRADE=11 total STUDENT_COUNT,510027000115,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2019,2017-18,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2020,2018-19,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2021,2019-20,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2022,2020-21,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2023,2021-22,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2024,2022-23,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2025,2023-24,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,,510027002659,,,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,Arlington County Public Schools,2026,2024-25,,ccd_row_not_found,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,,GRADE=11 total STUDENT_COUNT,510027002659,,,
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2019,2017-18,211,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2020,2018-19,196,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2021,2019-20,207,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
