school_id,school,sector,tj_pathway,division,class_year,grade11_school_year,nmsf_count,nmsf_status,source_id,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,nmsf_source_scope,source_completeness,observation_basis,notes
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
dominion_high_school,Dominion High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
freedom_high_school_south_riding,Freedom High School (South Riding),public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
heritage_high_school_leesburg,Heritage High School (Leesburg),public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
independence_high_school,Independence High School,public,Loudoun,LCPS,2019,2017-18,,not_operating,,,,,,,,school_not_operating,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2020,2018-19,,not_operating,,,,,,,,school_not_operating,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
independence_high_school,Independence High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,Opened 2019–20
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
john_champe_high_school,John Champe High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2019,2017-18,,not_operating,,,,,,,,school_not_operating,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2020,2018-19,,not_operating,,,,,,,,school_not_operating,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2021,2019-20,,not_operating,,,,,,,,school_not_operating,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,Opened 2020–21
lightridge_high_school,Lightridge High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,Opened 2020–21
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
loudoun_county_high_school,Loudoun County High School,public,Loudoun,LCPS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
loudoun_valley_high_school,Loudoun Valley High School,public,Loudoun,LCPS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
loudoun_valley_high_school,Loudoun Valley High School,public,Loudoun,LCPS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
loudoun_valley_high_school,Loudoun Valley High School,public,Loudoun,LCPS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
