source_id,class_year,school_name_source,nmsf_count,source_title,source_url,publication_date,retrieval_date,snapshot_record_type,snapshot_notes
pwcs_2024_semifinalists,2024,Osbourn Park High School,1,Prince William County Students Named 2024 National Merit Scholarship Semifinalists,https://www.pwcs.edu/news/2023/09/pwcs_national_merit_scholarship_semifinalists,2023-09-27,2026-06-19,observation_count,student names intentionally omitted
pwcs_2024_semifinalists,2024,Patriot High School,1,Prince William County Students Named 2024 National Merit Scholarship Semifinalists,https://www.pwcs.edu/news/2023/09/pwcs_national_merit_scholarship_semifinalists,2023-09-27,2026-06-19,observation_count,student names intentionally omitted
pwcs_2024_semifinalists,2024,Thomas Jefferson High School for Science and Technology,4,Prince William County Students Named 2024 National Merit Scholarship Semifinalists,https://www.pwcs.edu/news/2023/09/pwcs_national_merit_scholarship_semifinalists,2023-09-27,2026-06-19,excluded_tjhsst_former_pwcs_student,excluded from panel because TJHSST is maintained as one school row from the FCPS/TJHSST release
