class_year,division,school_id,school,sector,issue_type,nmsf_status,nmsf_count,source_id,source_title,source_url,source_date,source_hash,notes
2024,,,Marshall High School,,excluded_duplicate_public_school_count,not_applicable,6,patch_falls_church_2024_semifinalists,11 Falls Church Students In Running For 2024 National Merit Scholarships,https://patch.com/virginia/fallschurch/11-falls-church-students-named-2024-national-merit-semifinalists,2023-09-14,98a7ecedf58e64874470770e1985c03a16a767bc6c2f1cb7a2dc64dab2435bde,excluded from this source import because official FCPS source already provides the rostered public-school count
2024,,,Marshall High School,,excluded_duplicate_public_school_count,not_applicable,6,patch_vienna_2024_semifinalists,Dozens Of Vienna Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/vienna/dozens-vienna-seniors-named-2024-national-merit-semifinalists,2023-09-14,abaa46cf2901a5ec8d31116272c6cc7ac1b0b1c17025f1a1554db71e9e646c89,excluded from this source import because official FCPS source already provides the rostered public-school count
2024,,,McLean High School,,excluded_duplicate_public_school_count,not_applicable,15,patch_mclean_2024_semifinalists,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,f93b79e633fa2258ca6da858c5d92b4353a1561005ee1b9555c573763d106e6c,excluded from this source import because official FCPS source already provides the rostered public-school count
2024,,,Oakton High School,,excluded_duplicate_public_school_count,not_applicable,14,patch_vienna_2024_semifinalists,Dozens Of Vienna Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/vienna/dozens-vienna-seniors-named-2024-national-merit-semifinalists,2023-09-14,abaa46cf2901a5ec8d31116272c6cc7ac1b0b1c17025f1a1554db71e9e646c89,excluded from this source import because official FCPS source already provides the rostered public-school count
2024,,,Homeschool,,excluded_nonroster_school,not_applicable,1,patch_mclean_2024_semifinalists,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,f93b79e633fa2258ca6da858c5d92b4353a1561005ee1b9555c573763d106e6c,excluded from panel because homeschool is not a separate roster analytical unit
2024,,,Thomas Jefferson High School for Science and Technology,,excluded_tjhsst_resident_subset,not_applicable,7,patch_arlington_2024_semifinalists,16 Arlington Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/arlington-va/16-arlington-seniors-named-2024-national-merit-semifinalists,2023-09-14,06460c0a5300a9a4f3c21799d3b1a8ca4c2e67d555244e4087ee63ac3ba48d2c,excluded from panel because TJHSST is kept as one school row
2024,LCPS,,Thomas Jefferson High School for Science and Technology,,excluded_tjhsst_resident_subset,not_applicable,25,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,2084ef4d9dec83f0b8f3e2a2723241ab0692ac6288a9d3f0293866ed07fdc201,excluded from panel because TJHSST is maintained as one school row from the FCPS/TJHSST release
2024,PWCS,,Thomas Jefferson High School for Science and Technology,,excluded_tjhsst_former_pwcs_student,not_applicable,4,pwcs_2024_semifinalists,Prince William County Students Named 2024 National Merit Scholarship Semifinalists,https://www.pwcs.edu/news/2023/09/pwcs_national_merit_scholarship_semifinalists,2023-09-27,f9a063667fdece32459ca340376178c2b8c13116748c2139a745d57559ae6ce2,excluded from panel because TJHSST is maintained as one school row from the FCPS/TJHSST release
2025,,,BASIS Independent McLean,,excluded_duplicate_private_school_count,not_applicable,4,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because another Patch source already provides this private-school count
2025,,,New School of Northern Virginia,,excluded_duplicate_private_school_count,not_applicable,1,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because another Patch source already provides this private-school count
2025,,,The Madeira School,,excluded_duplicate_private_school_count,not_applicable,3,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because another Patch source already provides this private-school count
2025,,,The Potomac School,,excluded_duplicate_private_school_count,not_applicable,9,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because another Patch source already provides this private-school count
2025,,,Trinity Christian School,,excluded_duplicate_private_school_count,not_applicable,1,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because another Patch source already provides this private-school count
2025,,,Battlefield High School,,excluded_duplicate_public_school_count,not_applicable,2,patch_woodbridge_2025_semifinalists,"Seniors At Woodbridge, PWC Schools Named National Merit Scholarship Semifinalists",https://patch.com/virginia/woodbridge-va/seniors-woodbridge-pwc-schools-named-national-merit-semifinalists,2024-09-11,29eef26275b3a135ff4ef4c3086cc2897b45d6ae4e7e87d06cae5be22f9ce4f5,excluded from this source import because official PWCS source already provides the rostered public-school count
2025,,,Centreville High School,,excluded_duplicate_public_school_count,not_applicable,3,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because official FCPS source already provides the rostered public-school count
2025,,,Chantilly High School,,excluded_duplicate_public_school_count,not_applicable,10,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because official FCPS source already provides the rostered public-school count
2025,,,Charles Colgan High School,,excluded_duplicate_public_school_count,not_applicable,1,patch_woodbridge_2025_semifinalists,"Seniors At Woodbridge, PWC Schools Named National Merit Scholarship Semifinalists",https://patch.com/virginia/woodbridge-va/seniors-woodbridge-pwc-schools-named-national-merit-semifinalists,2024-09-11,29eef26275b3a135ff4ef4c3086cc2897b45d6ae4e7e87d06cae5be22f9ce4f5,excluded from this source import because official PWCS source already provides the rostered public-school count
2025,,,Fairfax High School,,excluded_duplicate_public_school_count,not_applicable,4,patch_fairfax_city_2025_semifinalists,Seniors At Fairfax Schools Named National Merit Semifinalists,https://patch.com/virginia/fairfaxcity/seniors-fairfax-schools-named-national-merit-semifinalists,2024-09-11,15b856672b3f7bb5ace0b70851f3287d0bdde088269c03bb0fa980bd152f1c91,excluded from this source import because official FCPS source already provides the rostered public-school count
2025,,,Fairfax High School,,excluded_duplicate_public_school_count,not_applicable,4,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because official FCPS source already provides the rostered public-school count
2025,,,Forest Park High School,,excluded_duplicate_public_school_count,not_applicable,1,patch_woodbridge_2025_semifinalists,"Seniors At Woodbridge, PWC Schools Named National Merit Scholarship Semifinalists",https://patch.com/virginia/woodbridge-va/seniors-woodbridge-pwc-schools-named-national-merit-semifinalists,2024-09-11,29eef26275b3a135ff4ef4c3086cc2897b45d6ae4e7e87d06cae5be22f9ce4f5,excluded from this source import because official PWCS source already provides the rostered public-school count
2025,,,Hayfield Secondary School,,excluded_duplicate_public_school_count,not_applicable,1,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because official FCPS source already provides the rostered public-school count
2025,,,Herndon High School,,excluded_duplicate_public_school_count,not_applicable,1,patch_vienna_2025_semifinalists,Seniors At Vienna Schools Named National Merit Scholarship Semifinalists,https://patch.com/virginia/vienna/seniors-vienna-schools-named-national-merit-semifinalists,2024-09-11,a79eba45825e5fafd6b3b51d0924b034c9988912990c73bcfc18f4ba44b80181,excluded from this source import because official FCPS source already provides the rostered public-school count
