source_id,class_year,school_name_source,nmsf_count,source_title,source_url,publication_date,retrieval_date,snapshot_record_type,snapshot_notes
patch_vienna_2026_semifinalists,2026,James Madison High School,8,"38 Vienna, Oakton Seniors Named National Merit Scholarship Semifinalists For 2026",https://patch.com/virginia/vienna/national-merit-scholarship-semifinalists-vienna-oakton-named-2026,2025-09-10,2026-06-19,excluded_duplicate_public_school_count,excluded from this source import because official FCPS source already provides the rostered public-school count
patch_vienna_2026_semifinalists,2026,Oakcrest School,1,"38 Vienna, Oakton Seniors Named National Merit Scholarship Semifinalists For 2026",https://patch.com/virginia/vienna/national-merit-scholarship-semifinalists-vienna-oakton-named-2026,2025-09-10,2026-06-19,observation_count,student names intentionally omitted
patch_vienna_2026_semifinalists,2026,Oakton High School,25,"38 Vienna, Oakton Seniors Named National Merit Scholarship Semifinalists For 2026",https://patch.com/virginia/vienna/national-merit-scholarship-semifinalists-vienna-oakton-named-2026,2025-09-10,2026-06-19,excluded_duplicate_public_school_count,excluded from this source import because official FCPS source already provides the rostered public-school count
patch_vienna_2026_semifinalists,2026,Flint Hill School,4,"38 Vienna, Oakton Seniors Named National Merit Scholarship Semifinalists For 2026",https://patch.com/virginia/vienna/national-merit-scholarship-semifinalists-vienna-oakton-named-2026,2025-09-10,2026-06-19,observation_count,student names intentionally omitted
patch_vienna_2026_semifinalists,2026,Marshall High School,15,"38 Vienna, Oakton Seniors Named National Merit Scholarship Semifinalists For 2026",https://patch.com/virginia/vienna/national-merit-scholarship-semifinalists-vienna-oakton-named-2026,2025-09-10,2026-06-19,excluded_duplicate_public_school_count,excluded from this source import because official FCPS source already provides the rostered public-school count
