source_id,class_year,school_name_source,nmsf_count,source_title,source_url,publication_date,retrieval_date,snapshot_record_type,snapshot_notes
patch_mclean_2024_semifinalists,2024,McLean Basis Independent,3,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,observation_count,student names intentionally omitted
patch_mclean_2024_semifinalists,2024,Homeschool,1,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,excluded_nonroster_school,excluded from panel because homeschool is not a separate roster analytical unit
patch_mclean_2024_semifinalists,2024,Langley High School,13,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,excluded_duplicate_public_school_count,excluded from this source import because official FCPS source already provides the rostered public-school count
patch_mclean_2024_semifinalists,2024,The Madeira School,1,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,observation_count,student names intentionally omitted
patch_mclean_2024_semifinalists,2024,McLean High School,15,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,excluded_duplicate_public_school_count,excluded from this source import because official FCPS source already provides the rostered public-school count
patch_mclean_2024_semifinalists,2024,The Potomac School,7,40 McLean Area Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/mclean/40-mclean-area-seniors-named-2024-national-merit-semifinalists,2023-09-14,2026-06-19,observation_count,student names intentionally omitted
